Interval=	0.0025 s
ExcelDateTime=	4.4991596726522410e+004	3/6/2023 14:19:17.171536
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
3.505	-19.5
3.5075	-17.6
3.51	-31.8
3.5125	-29.3
3.515	-23.4
3.5175	-34.4
3.52	-29.6
3.5225	-27.7
3.525	-35.8
3.5275	-35.0
3.53	-29.4
3.5325	-36.1
3.535	-42.8
3.5375	-37.8
3.54	-38.2
3.5425	-30.8
3.545	-29.9
3.5475	-44.6
3.55	-54.3
3.5525	-47.0
3.555	-41.4
3.5575	-47.8
3.56	-41.8
3.5625	-35.1
3.565	-31.4
3.5675	-36.2
3.57	-34.6
3.5725	-31.2
3.575	-39.6
3.5775	-31.8
3.58	-35.0
3.5825	-36.0
3.585	-26.7
3.5875	-27.6
3.59	-26.0
3.5925	-23.8
3.595	-18.3
3.5975	-22.9
3.6	-25.3
3.6025	-26.5
3.605	-33.0
3.6075	-28.6
3.61	-28.6
3.6125	-29.7
3.615	-29.9
3.6175	-29.9
3.62	-35.6
3.6225	-36.6
3.625	-34.1
3.6275	-34.4
3.63	-23.7
3.6325	-25.5
3.635	-33.3
3.6375	-31.4
3.64	-30.1
3.6425	-25.4
3.645	-22.9
3.6475	-35.2
3.65	-34.1
3.6525	-31.7
